Artist	Date	Titre	D1	D2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Gâma Amr. Angle N.O. 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Vieux Kaire. Château 	8.6	7.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Près S. Sépulchre. Archivolte 	6.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple Ext. N. plafond 	8.5	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Vieux Caire. Tronc de datier 	8.2	7.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Athènes. T[emple] de Min[erve] Poliade. Chap[iteau]. 53 	11.5	18.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Mouristan. Rue 	9.5	8.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Egl. S. Sépulchre. Frise 	8.7	11.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Fahkra. Tombeau. Inscription 	8.7	11.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Aphrodisias. Chapiteau 	8.6	7.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : façade] 	23.0	17.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : la porte Rouge] 	22.8	17.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Mosquée. Chap. 	8.6	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Petit Temple. Inté. fragt 	8.5	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Toscanella. Egl. S. Pietro. Intér. Chap. 	8.6	7.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. Entt. Fragt 	4.0	8.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Daphni près [d'] Athènes. Monastère pris du S. O 	18.0	23.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	[Fontaine de Château d'eau pétrifié par le gel] 	17.7	23.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Porte Eg[lise] du St Sép[ulcre] 	18.8	24.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Petit Temple à l'O. 	5.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple Ext. Entt. fragm. 	6.7	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Int. Porte ext. soffitte 	8.6	5.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Prise du P. Temple à l'O. 	4.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple Ext. Entt Fragm. 	8.8	5.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. frise 	5.8	8.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Alexandrie. Sakie (?) 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Edfou. Temple. Chap. 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. N. angle S.E. 	8.5	5.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : clocher nord] 	17.8	16.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Petit Temple à l'O. 	8.5	7.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ex. Entabt fragm. 	5.0	8.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Porte 	7.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Athènes. T[emple] de Min[erve] Polyade. Chap[iteau] 	12.1	18.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Porte de Damas. Tableau 	8.5	7.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Chap. Gde colonne au S. 	6.2	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Samarie. Eglise. Apside. Dét. 	8.7	11.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Porte d'un sybil. [sabil-kuttab ?] (suite) 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. G. [Gami] Amr. Mihrab à l'extérieur 	9.5	8.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Fontaine près hâram el Chérife 	11.2	8.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Haram el Cherîfe pris du N. O. 	11.5	18.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple. Inté. [rieur]. Porte. Ext. frise 	8.7	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Piscine probatique 	7.2	8.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Atlit. Eglise. Dét. 	11.0	9.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Gde Mosquée prise de S. Meryem 	8.5	7.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P[etit]. Temple Ext. N [ord] suite 	7.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P.[etit] Temple. Ext. N.[ord] 	6.0	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple Ext. Chap. 	8.6	7.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Aphrodisias. Porte de la ville. Ext. 	8.6	7.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. T.[emple] circ.[ulaire]? Portique ?P.[etit] T[emple] ? 	5.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Près l'égl. du St Sépulchre 	8.5	7.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	"[Bethléem : église de la Nativité et couvents, vus de l'ouest] "	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. T. [tombeau] du sultan Torabey. Chap. 	11.5	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Bosphore N[ord]. Pècheries 	8.2	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. Angle S.E. Dét. 	8.5	6.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Scutari. 1843. Camp d'Haïder Pacha 	9.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple. Int. Chap. 	11.3	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	"[Jérusalem : esplanade du Temple de Salomon, Dôme du Rocher] "	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. N. Détails 	6.0	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. temple. Int. Porte 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Damas. hotel de Palmyre. Iwân. Dét. 	11.5	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Petit Temple. Inté. Chap. 	8.5	6.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Aphrodisias. Colonnes torses 	9.5	8.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem ? Chapiteau ? 	8.7	11.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. N. angle S.E. 	8.5	7.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. [Mosquée]. Chap. 	7.4	5.1
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Pet. Temple Int. arche d'une niche 	5.9	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Tombeau au sud. Soffite [tombé à terre] 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Ext. angle S.O. frise 	6.0	8.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Egl. Ste Anne près bab S. Maryem - fenêtre 	8.7	11.4
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. G. [Gami] Ibn Touloun. barque du minaret. 193 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Damas. Maison Salomon. Iwân 	8.8	11.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Constantinople. Fontaine près Galata 	9.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1844	Baalbec. 1844. Petit et Grand Temple 	18.0	23.4
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Jérusalem. Egl. S. Sépulchre fenêtres Dét. 	8.7	11.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Kaire. 1843. G. [Gami] Kérabat. Min[aret] et coupole 	23.5	9.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Karnak. Palmiers. Tabl. 	9.5	8.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Intér. Porte ext. frise 	6.8	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	"Baalbec. Gde Cour, niches "	8.5	4.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. P. Temple. Intér. Porte. Dét. 	5.2	9.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	"Souk. [Souk Wadi Barada, Syrie] Tombeaux "	8.7	11.4
